control,individual_realization,mean_model
"['OP_5', 'OP_4', 'OP_3', 'WI_3', 'WI_2', 'OP_2', 'WI_1', 'OP_1']",6967578034.03,6631333173.31
"['OP_5', 'OP_4', 'OP_2', 'WI_1', 'WI_2', 'OP_1', 'WI_3', 'OP_3']",7991792424.51,6766494128.53
"['OP_3', 'OP_1', 'OP_5', 'WI_2', 'WI_3', 'OP_4', 'WI_1', 'OP_2']",7727255020.42,6885837620.49
"['OP_4', 'OP_2', 'OP_5', 'WI_1', 'WI_2', 'OP_3', 'WI_3', 'OP_1']",9016262551.99,6672761453.06
"['OP_4', 'OP_5', 'OP_3', 'WI_3', 'WI_2', 'OP_1', 'WI_1', 'OP_2']",6760560943.79,6755059421.09
"['OP_3', 'OP_5', 'OP_1', 'WI_2', 'WI_1', 'OP_4', 'WI_3', 'OP_2']",7749856892.31,6930786627.37
"['OP_5', 'OP_2', 'OP_1', 'WI_2', 'WI_3', 'OP_3', 'WI_1', 'OP_4']",6228643502.75,6869642107.53
"['OP_4', 'OP_1', 'OP_3', 'WI_1', 'WI_2', 'WI_3', 'OP_2', 'OP_5']",7243408487.32,7082898850.0
"['OP_1', 'OP_4', 'OP_2', 'WI_1', 'WI_2', 'WI_3', 'OP_5', 'OP_3']",7163082106.86,6973238109.31
"['OP_4', 'OP_5', 'OP_1', 'WI_1', 'WI_3', 'WI_2', 'OP_3', 'OP_2']",8018038868.21,6826596133.45
"['OP_5', 'OP_4', 'OP_3', 'WI_3', 'WI_2', 'WI_1', 'OP_2', 'OP_1']",7369709730.68,6678187047.96
"['OP_5', 'OP_4', 'OP_2', 'WI_1', 'WI_2', 'WI_3', 'OP_1', 'OP_3']",8780910301.1,6750087824.97
"['OP_3', 'OP_1', 'OP_5', 'WI_2', 'WI_3', 'WI_1', 'OP_4', 'OP_2']",8375139793.98,6918689228.83
"['OP_4', 'OP_2', 'OP_5', 'WI_1', 'WI_2', 'WI_3', 'OP_3', 'OP_1']",6813660046.1,6724223571.65
"['OP_4', 'OP_5', 'OP_3', 'WI_3', 'WI_2', 'WI_1', 'OP_1', 'OP_2']",6627762509.39,6742924829.61
"['OP_3', 'OP_5', 'OP_1', 'WI_2', 'WI_1', 'WI_3', 'OP_4', 'OP_2']",5932016150.23,6930481392.62
"['OP_5', 'OP_2', 'OP_1', 'WI_2', 'WI_3', 'WI_1', 'OP_3', 'OP_4']",7582196453.5,6886255322.52
"['OP_4', 'OP_1', 'WI_1', 'OP_3', 'OP_2', 'OP_5', 'WI_2', 'WI_3']",6628841912.27,6794865663.27
"['OP_1', 'OP_4', 'WI_2', 'OP_3', 'OP_2', 'OP_5', 'WI_3', 'WI_1']",8420849595.67,6708331518.67
"['OP_4', 'OP_5', 'WI_2', 'OP_3', 'OP_2', 'OP_1', 'WI_1', 'WI_3']",6560644543.22,6419872654.89
"['OP_5', 'OP_4', 'WI_1', 'OP_2', 'OP_1', 'OP_3', 'WI_3', 'WI_2']",8157216716.62,6686239608.62
"['OP_5', 'OP_4', 'WI_3', 'OP_3', 'OP_1', 'OP_2', 'WI_2', 'WI_1']",7691171200.35,6694402344.06
"['OP_3', 'OP_1', 'WI_3', 'OP_2', 'OP_5', 'OP_4', 'WI_1', 'WI_2']",7109297846.9,6837688394.99
"['OP_4', 'OP_2', 'WI_3', 'OP_3', 'OP_1', 'OP_5', 'WI_1', 'WI_2']",8838607756.73,6851624648.55
"['OP_4', 'OP_5', 'WI_1', 'OP_2', 'OP_1', 'OP_3', 'WI_2', 'WI_3']",8180239814.99,6715536678.77
"['OP_3', 'OP_5', 'WI_1', 'OP_4', 'OP_1', 'OP_2', 'WI_2', 'WI_3']",5722279537.44,6798992182.49
"['OP_5', 'OP_2', 'WI_2', 'OP_1', 'OP_4', 'OP_3', 'WI_1', 'WI_3']",7604404991.14,6583988911.06
